sno,townName,category,state,district
1,1 SGM,C.T,Rajasthan,Ganganagar
2,3 STR,C.T,Rajasthan,Ganganagar
3,A.Thirumuruganpoondi,T.P,Tamil Nadu,Coimbatore
4,A.Vellalapatti,T.P,Tamil Nadu,Madurai
5,Aadityana,C.T,Gujarat,Porbandar
6,Aambaliyasan,C.T,Gujarat,Mahesana
7,Aantaliya,C.T,Gujarat,Navsari
8,Aarambhada,C.T,Gujarat,Jamnagar
9,Abhayapuri,T.C,Assam,Bongaigaon
10,Abiramam,T.P,Tamil Nadu,Ramanathapuram
11,Abohar,M.Cl,Punjab,Firozpur
12,Abrama,C.T,Gujarat,Valsad
13,Abu Road,M,Rajasthan,Sirohi
14,Achabal,N.AC,Jammu & Kashmir,Anantnag
15,Achalpur,M.Cl,Maharashtra,Amravati
16,Achampudur,T.P,Tamil Nadu,Tirunelveli
17,Acharapakkam,T.P,Tamil Nadu,Kancheepuram
18,Acharipallam,T.P,Tamil Nadu,Kanniyakumari
19,Achhalda,N.P,Uttar Pradesh,Auraiya
20,Achhnera,M.B,Uttar Pradesh,Agra
21,Achipatti,C.T,Tamil Nadu,Coimbatore
22,Adalaj,C.T,Gujarat,Gandhinagar
23,Adampur,M.Cl,Punjab,Jalandhar
24,Adari,N.P,Uttar Pradesh,Mau
25,Adikaratti,T.P,Tamil Nadu,The Nilgiris
26,Adilabad,M,Andhra Pradesh,Adilabad
27,Adiramapattinam,T.P,Tamil Nadu,Thanjavur
28,Adityapatna,C.T,Karnataka,Tumkur
29,Adityapur,N.A,Jharkhand,Pashchimi Singhbhum
30,Adoni,M,Andhra Pradesh,Kurnool
31,Adoor,M,Kerala,Pathanamthitta
32,Adra,C.T,West Bengal,Puruliya
33,Aduthurai alias Maruthuvakudi,T.P,Tamil Nadu,Thanjavur
34,Adyar,C.T,Karnataka,Dakshina Kannada
35,Afzalgarh,M.B,Uttar Pradesh,Bijnor
36,Afzalpur,T.P,Karnataka,Gulbarga
37,Agar,M,Madhya Pradesh,Shajapur
38,Agaram,T.P,Tamil Nadu,Dindigul
39,Agartala,M.Cl,Tripura,West Tripura 
40,Agarwal Mandi,N.P,Uttar Pradesh,Baghpat
41,Agastheeswaram,T.P,Tamil Nadu,Kanniyakumari
42,Agra,M.Corp,Uttar Pradesh,Agra
43,Agra,C.B,Uttar Pradesh,Agra
44,Ahiwara,N.P,Chhattisgarh,Durg
45,Ahmadnagar,M.Cl,Maharashtra,Ahmadnagar
46,Ahmadnagar,C.B,Maharashtra,Ahmadnagar
47,Ahmadpur,C.T,West Bengal,Birbhum
48,Ahmadpur,M.Cl,Maharashtra,Latur
49,Ahmedabad,M.Corp,Gujarat,Ahmadabad
50,Ahmedabad Cantonment,C.B,Gujarat,Ahmadabad
51,Ahmedgarh,M.Cl,Punjab,Sangrur
52,Ahraura,M.B,Uttar Pradesh,Mirzapur
53,Aiho,C.T,West Bengal,Maldah 
54,Ailum,N.P,Uttar Pradesh,Muzaffarnagar
55,Air Force Area,C.T,Uttar Pradesh,Gorakhpur
56,Aistala,C.T,West Bengal,Nadia 
57,Aizawl,N.T.,Mizoram,Aizawl
58,Ajaigarh,N.P,Madhya Pradesh,Panna
59,Ajhuwa,N.P,Uttar Pradesh,Kaushambi
60,Ajmer,M.Cl,Rajasthan,Ajmer
61,Ajnala,N.P,Punjab,Amritsar
62,Ajra,C.T,Maharashtra,Kolhapur
63,Akalgarh,C.T,Punjab,Ludhiana
64,Akaltara,N.P,Chhattisgarh,Janjgir-Champa
65,Akathiyoor,C.T,Kerala,Thrissur
66,Akbarpur,N.P,Uttar Pradesh,Kanpur Dehat
67,Akbarpur,M.B,Uttar Pradesh,Ambedaker Nagar
68,Akhnoor,N.AC,Jammu & Kashmir,Jammu
69,Akkalkot,M.Cl,Maharashtra,Solapur
70,Akkarampalle,C.T,Andhra Pradesh,Chittoor
71,Akkayapalle,C.T,Andhra Pradesh,Cuddapah
72,Aklera,M,Rajasthan,Jhalawar
73,Akoda,N.P,Madhya Pradesh,Bhind
74,Akodia,N.P,Madhya Pradesh,Shajapur
75,Akola,M.Cl,Maharashtra,Akola
76,Akot,M.Cl,Maharashtra,Akola
77,Alagappapuram,T.P,Tamil Nadu,Kanniyakumari
78,Alampalayam,T.P,Tamil Nadu,Namakkal
79,Alampur,N.P,Madhya Pradesh,Bhind
80,Aland,T.M.C,Karnataka,Gulbarga
81,Alandi,M.Cl,Maharashtra,Pune
82,Alandur,M,Tamil Nadu,Kancheepuram
83,Alang,C.T,Gujarat,Bhavnagar
84,Alanganallur,T.P,Tamil Nadu,Madurai
85,Alangayam,T.P,Tamil Nadu,Vellore
86,Alangudi,T.P,Tamil Nadu,Pudukkottai
87,Alangulam,T.P,Tamil Nadu,Virudhunagar
88,Alangulam,T.P,Tamil Nadu,Tirunelveli
89,Alanthurai,T.P,Tamil Nadu,Coimbatore
90,Alapakkam,C.T,Tamil Nadu,Kancheepuram
91,Alappuzha,M,Kerala,Alappuzha
92,Alawalpur,M.Cl,Punjab,Jalandhar
93,Aldona,C.T,Goa,North Goa 
94,Ali Pur,C.T,Delhi *,North West
95,Alibag,M.Cl,Maharashtra,Raigarh
96,Aliganj,M.B,Uttar Pradesh,Etah
97,Aligarh,M.Corp,Uttar Pradesh,Aligarh
98,Alipurduar,M,West Bengal,Jalpaiguri 
99,Alipurduar Rly.Jnc.,C.T,West Bengal,Jalpaiguri 
100,Alirajpur,M,Madhya Pradesh,Jhabua
101,Allahabad,M.Corp,Uttar Pradesh,Allahabad 
102,Allahabad,C.B,Uttar Pradesh,Allahabad 
103,Allahganj,N.P,Uttar Pradesh,Shahjahanpur
104,Allapur,N.P,Uttar Pradesh,Budaun
105,Allapuram,T.P,Tamil Nadu,Vellore
106,Almora,M.B,Uttaranchal,Almora
107,Almora,C.B,Uttaranchal,Almora
108,Alnavar,T.P,Karnataka,Dharwad
109,Along,C.T,Arunachal Pradesh,West Siang
110,Alot,N.P,Madhya Pradesh,Ratlam
111,Alpur,C.T,West Bengal,Haora 
112,Alur,T.P,Karnataka,Hassan
113,Alur,T.P,Tamil Nadu,Kanniyakumari
114,Aluva,M,Kerala,Ernakulam
115,Alwal,M,Andhra Pradesh,Rangareddi
116,Alwar,M.Cl,Rajasthan,Alwar
117,Alwarkurichi,T.P,Tamil Nadu,Tirunelveli
118,Alwarthirunagiri,T.P,Tamil Nadu,Toothukudi
119,Amadalavalasa,N.P,Andhra Pradesh,Srikakulam
120,Amalapuram,M,Andhra Pradesh,East Godavari
121,Amalner,M.Cl,Maharashtra,Jalgaon
122,Amanganj,N.P,Madhya Pradesh,Panna
123,Amanpur,N.P,Uttar Pradesh,Etah
124,Amarkantak,N.P,Madhya Pradesh,Shahdol
125,Amarpatan,N.P,Madhya Pradesh,Satna
126,Amarpur,N.P,Tripura,South Tripura 
127,Amarpur,N.A,Bihar,Banka
128,Amarwara,N.P,Madhya Pradesh,Chhindwara
129,Ambad,M.Cl,Maharashtra,Jalna
130,Ambada,C.T,Madhya Pradesh,Chhindwara
131,Ambagarh Chowki,N.P,Chhattisgarh,Rajnandgaon
132,Ambah,M,Madhya Pradesh,Morena
133,Ambaji,C.T,Gujarat,Banas Kantha
134,Ambala,M.Cl,Haryana,Ambala
135,Ambala Cantt.,C.B,Haryana,Ambala
